clip_sequence,cum_clip,min_id,max_id,skill,problem_id,user_id,assignment_id,assistment_id,avg_attemptCount,avg_bottomHint,avg_correct,avg_frIsHelpRequest,avg_frPast5HelpRequest,avg_frPast5WrongCount,avg_frPast8HelpRequest,avg_frPast8WrongCount,avg_frWorkingInSchool,avg_hint,avg_hintCount,avg_hintTotal,avg_original,avg_past8BottomOut,avg_scaffold,avg_stlHintUsed,avg_timeSinceSkill,avg_timeTaken,avg_totalFrAttempted,avg_totalFrPastWrongCount,avg_totalFrPercentPastWrong,avg_totalFrSkillOpportunities,avg_totalFrTimeOnSkill,max_attemptCount,max_bottomHint,max_correct,max_frIsHelpRequest,max_frPast5HelpRequest,max_frPast5WrongCount,max_frPast8HelpRequest,max_frPast8WrongCount,max_frWorkingInSchool,max_hint,max_hintCount,max_hintTotal,max_original,max_past8BottomOut,max_scaffold,max_stlHintUsed,max_timeSinceSkill,max_timeTaken,max_totalFrAttempted,max_totalFrPastWrongCount,max_totalFrPercentPastWrong,max_totalFrSkillOpportunities,max_totalFrTimeOnSkill,min_attemptCount,min_bottomHint,min_correct,min_frIsHelpRequest,min_frPast5HelpRequest,min_frPast5WrongCount,min_frPast8HelpRequest,min_frPast8WrongCount,min_frWorkingInSchool,min_hint,min_hintCount,min_hintTotal,min_original,min_past8BottomOut,min_scaffold,min_stlHintUsed,min_timeSinceSkill,min_timeTaken,min_totalFrAttempted,min_totalFrPastWrongCount,min_totalFrPercentPastWrong,min_totalFrSkillOpportunities,min_totalFrTimeOnSkill,sum_attemptCount,sum_bottomHint,sum_correct,sum_frIsHelpRequest,sum_frPast5HelpRequest,sum_frPast5WrongCount,sum_frPast8HelpRequest,sum_frPast8WrongCount,sum_frWorkingInSchool,sum_hint,sum_hintCount,sum_hintTotal,sum_original,sum_past8BottomOut,sum_scaffold,sum_stlHintUsed,sum_timeSinceSkill,sum_timeTaken,sum_totalFrAttempted,sum_totalFrPastWrongCount,sum_totalFrPercentPastWrong,sum_totalFrSkillOpportunities,sum_totalFrTimeOnSkill,confusion,concentration,boredom,frustration,urbanicity
5,223,365,365,296,1650,73281,287765,1650,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,120.264,54,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,120.264,54,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,120.264,54,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,120.264,54,0,0,0,0,0,1,0,0,1
6,252,398,400,277,89693.66667,73289,287807,50779.66667,1,0,1,0,0,0,0,0,1,0,0,4,1,0,0,0,0,33.37033333,30,1,0.411111113,5,558.445,1,0,1,0,0,0,0,0,1,0,0,4,1,0,0,0,0,86.032,31,1,0.5,6,593.279,1,0,1,0,0,0,0,0,1,0,0,4,1,0,0,0,0,4.844,29,1,0.33333334,4,498.012,3,0,3,0,0,0,0,0,3,0,0,12,3,0,0,0,0,100.111,90,3,1.23333334,15,1675.335,0,0,1,0,1
7,283,440,440,106,102338,74138,287731,56626,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,33.265,10,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,33.265,10,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,33.265,10,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,33.265,10,0,0,0,0,0,1,0,0,1
7,287,445,450,39,69248,74138,287790.1667,41434,2.666666667,0,0.166666667,0,0,0.166666667,0,0.166666667,1,0.666666667,1.666666667,4.166666667,1,0.166666667,0,0.166666667,0,16.79683333,17.5,0.833333333,0.027777778,3.5,110.59467,5,0,1,0,0,1,0,1,1,1,4,5,1,1,0,1,0,88.641,20,1,0.16666667,6,442.09802,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.532,15,0,0,1,36.563,16,0,1,0,0,1,0,1,6,4,10,25,6,1,0,1,0,100.781,105,5,0.16666667,21,663.56802,0,1,0,0,1
7,292,469,469,47,61089,74138,287802,38041,2,0,0,0,1,0,1,0,1,0,1,5,1,0,0,0,0,69.783,39,3,0,24,162.641,2,0,0,0,1,0,1,0,1,0,1,5,1,0,0,0,0,69.783,39,3,0,24,162.641,2,0,0,0,1,0,1,0,1,0,1,5,1,0,0,0,0,69.783,39,3,0,24,162.641,2,0,0,0,1,0,1,0,1,0,1,5,1,0,0,0,0,69.783,39,3,0,24,162.641,0,0,1,0,1
7,293,470,528,47,61089,74138,287802,38041,32,0.016949153,0.016949153,0,0,0,0,0,1,0.06779661,1.237288136,5,1,0,0,0.016949153,0,0.324423729,69,3,0,54,240.0055078,61,1,1,0,0,0,0,0,1,1,5,5,1,0,0,1,0,3.89,98,3,0,83,247.67506,3,0,0,0,0,0,0,0,1,0,1,5,1,0,0,0,0,0.078,40,3,0,25,232.42401,1888,1,1,0,0,0,0,0,59,4,73,295,59,0,0,1,0,19.141,4071,177,0,3186,14160.32496,1,0,0,0,1
7,298,536,537,309,84980,74138,287798,46692,1.5,0,0,0,0,0.5,0,0.5,1,0.5,0.5,3,1,0,0,0,0,97.705,106.5,1.5,0.214285715,7.5,304.208015,2,0,0,0,0,1,0,1,1,1,1,3,1,0,0,0,0,193.676,107,2,0.42857143,8,401.04602,1,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,1.734,106,1,0,7,207.37001,3,0,0,0,0,1,0,1,2,1,1,6,2,0,0,0,0,195.41,213,3,0.42857143,15,608.41603,0,0,1,0,1
7,299,538,539,309,85021,74138,287798,46722,2,0,1,0,0,0,0,0,1,0,0.5,3,1,0,0,0,0,10.641,108.5,1,0,4.5,201.390015,3,0,1,0,0,0,0,0,1,0,1,3,1,0,0,0,0,12.798,109,2,0,9,402.78003,1,0,1,0,0,0,0,0,1,0,0,3,1,0,0,0,0,8.484,108,0,0,0,0,4,0,2,0,0,0,0,0,2,0,1,6,2,0,0,0,0,21.282,217,2,0,9,402.78003,0,1,0,0,1
8,310,574,576,0,56822,77939,295923,36490,4,0,0,0,0,0,0,0,1,1,2,4,0,0,0,0.333333333,0,14.44266667,6,1,0,4,148.94333,5,0,0,0,0,0,0,0,1,1,3,4,0,0,0,1,0,42.125,7,1,0,5,163.39099,3,0,0,0,0,0,0,0,1,1,1,4,0,0,0,0,0,0.594,5,1,0,3,120.657,12,0,0,0,0,0,0,0,3,3,6,12,0,0,0,1,0,43.328,18,3,0,12,446.82999,0,1,0,0,1
8,311,577,578,0,56822,77939,295923,36490,6.5,0.5,0.5,0,0,0,0,0,1,0.5,4,4,0,0,0,0,0,6.18,8.5,1,0,6.5,164.30549,7,1,1,0,0,0,0,0,1,1,4,4,0,0,0,0,0,11.719,9,1,0,7,164.62599,6,0,0,0,0,0,0,0,1,0,4,4,0,0,0,0,0,0.641,8,1,0,6,163.98499,13,1,1,0,0,0,0,0,2,1,8,8,0,0,0,0,0,12.36,17,2,0,13,328.61098,0,1,0,0,1
8,313,580,582,3,56758,77939,295923,36469,1,0,0.333333333,0.666666667,0,0,0,0,1,0.333333333,0.333333333,2,0.333333333,0,0.333333333,0,0,33.06233333,12,0.666666667,0.157407407,6,199.09466,1,0,1,1,0,0,0,0,1,1,1,4,1,0,1,0,0,92.062,13,1,0.25,9,239.688,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.219,11,0,0,1,176.34499,3,0,1,2,0,0,0,0,3,1,1,6,1,0,1,0,0,99.187,36,2,0.47222222,18,597.28398,0,0,1,0,1
8,314,583,586,12,55903,77939,296571.5,35874.25,3.25,0,0.25,0,0.25,0,0.25,0,1,0.5,2,3.75,0.25,0,0,0.5,0,4.301,15.5,0.75,0,8.25,138.8487475,4,0,1,0,1,0,1,0,1,1,3,4,1,0,0,1,0,7.032,17,1,0,12,187.439,2,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1.016,14,0,0,0,0,13,0,1,0,1,0,1,0,4,2,8,15,1,0,0,2,0,17.204,62,3,0,33,555.39499,0,0,1,0,1
8,319,603,604,277,89727,77939,298509,50813,6.5,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,12.781,34.5,0,0,4.5,27.399,7,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,22.734,35,0,0,5,38.766,6,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,2.828,34,0,0,4,16.032,13,0,0,0,0,0,0,0,2,0,0,6,2,0,0,0,0,25.562,69,0,0,9,54.798,0,0,1,0,1
8,323,616,621,277,87289.5,77939,298509,48688.5,1.333333333,0,0.666666667,0,0,0.333333333,0,0.333333333,1,0,0,3.5,1,0,0,0,0,3.3465,49.5,1.333333333,0.380677638,19.5,178.4981733,2,0,1,0,0,1,0,1,1,0,0,4,1,0,0,0,0,5.36,52,2,0.5882353,22,187.51701,1,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,2.156,47,0,0,17,170.438,8,0,4,0,0,2,0,2,6,0,0,21,6,0,0,0,0,20.079,297,8,2.28406583,117,1070.98904,0,1,0,0,1
8,327,635,637,15,64993.66667,77939,297653.6667,39001,1.333333333,0,0.666666667,0,0,0.333333333,0,0.333333333,1,0,0,3.333333333,0.333333333,0,0,0,0,6.661666667,67,1.333333333,0.058823533,11,138.6936633,2,0,1,0,0,1,0,1,1,0,0,4,1,0,0,0,0,16.376,68,2,0.1764706,17,208.84499,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1.609,66,0,0,0,0,4,0,2,0,0,1,0,1,3,0,0,10,1,0,0,0,0,19.985,201,4,0.1764706,33,416.08099,0,1,0,0,1
8,333,654,656,47,61107.66667,77939,295926,38059.66667,1.333333333,0,0.666666667,0,0,0.333333333,0,0.333333333,1,0,0,5,1,0,0,0,0,6.453,86,3.666666667,0.240454083,18,118.4076567,2,0,1,0,0,1,0,1,1,0,0,5,1,0,0,0,0,9.5,87,4,0.36842105,19,122.75099,1,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,0,1.765,85,3,0,17,111.48599,4,0,2,0,0,1,0,1,3,0,0,15,3,0,0,0,0,19.359,258,11,0.72136225,54,355.22297,0,1,0,0,1
8,338,667,668,74,89693.5,77939,295930.5,50683.5,1,0,1,0,0,0,0,0,1,0,0,3.5,1,0,0,0,0,40.696,98.5,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,4,1,0,0,0,0,70.845,99,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,3,1,0,0,0,0,10.547,98,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,7,2,0,0,0,0,81.392,197,0,0,0,0,0,0,1,0,1
8,342,678,683,95,125684,77939,295927,66488,2.666666667,0.166666667,0.5,0,0,0.166666667,0,0.166666667,1,0.5,1.5,3,1,0,0,0.166666667,0,3.098833333,111.5,1,0.039351852,6.5,46.2345,5,1,1,0,0,1,0,1,1,1,3,3,1,0,0,1,0,8.141,114,1,0.125,9,55.328,1,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0.5,109,1,0,4,39,16,1,3,0,0,1,0,1,6,3,9,18,6,0,0,1,0,18.593,669,6,0.23611111,39,277.407,0,1,0,0,1
8,343,684,701,198,76876.33333,77939,298369.6667,44658,1.666666667,0,0.5,0,0,0.166666667,0,0.166666667,0.055555556,0,0,2.777777778,1,0.111111111,0,0,0,0.309055556,123.5,2.277777778,0.176851851,12.05555556,80.94905778,3,0,1,0,0,1,0,1,1,0,0,4,1,1,0,0,0,5.5,132,4,0.7222222,26,210.84499,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,115,0,0,0,0,30,0,9,0,0,3,0,3,1,0,0,50,18,2,0,0,0,5.563,2223,41,3.18333332,217,1457.08304,0,1,0,0,1
9,358,717,718,277,89661,77941,287807,50747,1.5,0,0.5,0,0,0.5,0,0.5,1,0,0,4,1,0,0,0,0,17.743,15.5,0.5,0,0.5,12.266,2,0,1,0,0,1,0,1,1,0,0,4,1,0,0,0,0,24.532,16,1,0,1,24.532,1,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,10.954,15,0,0,0,0,3,0,1,0,0,1,0,1,2,0,0,8,2,0,0,0,0,35.486,31,1,0,1,24.532,0,0,1,0,1
9,363,726,728,278,54156,77941,287809.3333,34629,1,0,1,0,0,0,0,0,1,0,0,0.666666667,1,0,0,0,0,9.292333333,25,0.333333333,0.066666667,4.666666667,70.93766667,1,0,1,0,0,0,0,0,1,0,0,2,1,0,0,0,0,10.142,26,1,0.2,5,74.319,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,8.031,24,0,0,4,64.177,3,0,3,0,0,0,0,0,3,0,0,2,3,0,0,0,0,27.877,75,1,0.2,14,212.813,0,0,1,0,1
10,422,841,846,184,53831.83333,77945,298513.6667,34426,2.666666667,0.166666667,0.5,0,0,0,0,0,1,0.5,1.5,2.833333333,0.666666667,0,0,0.166666667,0,3.32,26.5,0.666666667,0.049450552,5.5,22.6021675,5,1,1,0,0,0,0,0,1,1,3,3,1,0,0,1,0,6.047,29,2,0.15384616,14,59.260002,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0.813,24,0,0,0,0,16,1,3,0,0,0,0,0,6,3,9,17,4,0,0,1,0,19.92,159,4,0.29670331,33,135.613005,0,1,0,0,1
10,427,862,863,51,221625.5,77945,294361,114186,1,0,0.5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,15.3955,45.5,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,22.48,46,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,8.311,45,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,30.791,91,0,0,0,0,0,0,1,0,1
10,430,867,868,207,221528.5,77945,294361,114131,1,0,0.5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,7.171,50.5,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,8.827,51,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5.515,50,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,14.342,101,0,0,0,0,0,1,0,0,1
10,441,880,887,109,101770.25,77945,297475.375,57016.5,1.125,0,0.375,0,0,0.125,0,0.125,0.25,0,0,2.25,1,0.25,0.125,0,0,4.206875,66.5,0.625,0.085380118,9.125,43.82425103,2,0,1,0,0,1,0,1,1,0,0,5,1,1,1,0,0,27.467,70,2,0.2,20,121.629005,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,63,0,0,0,0,9,0,3,0,0,1,0,1,2,0,0,18,8,2,1,0,0,33.655,532,5,0.68304094,73,350.5940082,0,0,1,0,1
11,453,903,903,0,184421,77947,295837,96846,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,140.954,15,1,0.2,5,207.332,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,140.954,15,1,0.2,5,207.332,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,140.954,15,1,0.2,5,207.332,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,140.954,15,1,0.2,5,207.332,0,1,0,0,1
12,460,910,910,76,12375,77955,287765,12375,1,0,1,0,0,0,0,0,1,0,0,5,1,0,0,0,0,175.157,3,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,5,1,0,0,0,0,175.157,3,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,5,1,0,0,0,0,175.157,3,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,5,1,0,0,0,0,175.157,3,0,0,0,0,0,0,1,0,1
12,461,911,911,296,1650,77955,287765,1650,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,49.812,4,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,49.812,4,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,49.812,4,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,49.812,4,0,0,0,0,0,0,0,1,1
12,469,922,923,10,56787,77955,295923,36479,1.5,0,0,0,0,0.5,0,0.5,1,0,0,0,1,0,0.5,0,0,275.3115,15.5,1.5,0.16666667,3.5,1139.31995,2,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,550.576,16,2,0.33333334,4,1414.6079,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.047,15,1,0,3,864.032,3,0,0,0,0,1,0,1,2,0,0,0,2,0,1,0,0,550.623,31,3,0.33333334,7,2278.6399,0,0,1,1,1
12,470,924,924,0,56788,77955,295923,36479,1,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,12.969,17,0,0,2,46.751,1,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,12.969,17,0,0,2,46.751,1,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,12.969,17,0,0,2,46.751,1,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,12.969,17,0,0,2,46.751,0,0,1,0,1
12,471,925,930,0,56789,77955,295923,36479,3.5,0.166666667,0.166666667,0,0,0.166666667,0,0.166666667,1,0.666666667,2.333333333,4,0,0,0,0.166666667,0,64.70833333,20.5,0.833333333,0,5.5,376.3993233,6,1,1,0,0,1,0,1,1,1,4,4,0,0,0,1,0,378.093,23,1,0,8,441.71997,1,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0.438,18,0,0,3,59.72,21,1,1,0,0,1,0,1,6,4,14,24,0,0,0,1,0,388.25,123,5,0,33,2258.39594,0,0,1,0,1
13,480,948,948,0,4515,77956,287762,4517,1,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,31.922,17,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,31.922,17,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,31.922,17,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,31.922,17,0,0,0,0,0,1,0,0,1
13,485,954,955,19,1303.5,77956,287762,1306,1,0,1,0,0,0,0,0,1,0,0,3.5,0,0,0,0,0,12.9995,23.5,0,0,1,21.578001,1,0,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,18.937,24,0,0,2,43.156002,1,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,7.062,23,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,7,0,0,0,0,0,25.999,47,0,0,2,43.156002,0,1,0,0,1
14,500,985,986,47,73534,77956,295927.5,42745,1,0,0.5,0,0,0,0,0,1,0,0,4,1,0,0,0,0,17.337,54.5,0,0.105555555,9.5,104.470505,1,0,1,0,0,0,0,0,1,0,0,5,1,0,0,0,0,17.985,55,0,0.11111111,10,112.815,1,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,16.689,54,0,0.1,9,96.12601,2,0,1,0,0,0,0,0,2,0,0,8,2,0,0,0,0,34.674,109,0,0.21111111,19,208.94101,0,1,0,0,1
14,505,1024,1025,47,85876.5,77956,295930.5,47352.5,1,0,1,0,0,0,0,0,1,0,0,3,1,0,0,0,0,13.5245,93.5,1,0.74234695,48.5,208.650025,1,0,1,0,0,0,0,0,1,0,0,3,1,0,0,0,0,18.314,94,1,0.75,49,217.80702,1,0,1,0,0,0,0,0,1,0,0,3,1,0,0,0,0,8.735,93,1,0.7346939,48,199.49303,2,0,2,0,0,0,0,0,2,0,0,6,2,0,0,0,0,27.049,187,2,1.4846939,97,417.30005,0,1,0,0,1
14,506,1026,1028,49,86680.66667,77956,295931.6667,48103.33333,1,0,1,0,0,0,0,0,1,0,0,3.333333333,1,0,0,0,0,6.911666667,96,0.666666667,0.475294133,33.66666667,153.41868,1,0,1,0,0,0,0,0,1,0,0,4,1,0,0,0,0,7.891,97,1,0.72,51,233.71402,1,0,1,0,0,0,0,0,1,0,0,3,1,0,0,0,0,5.672,95,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,10,3,0,0,0,0,20.735,288,2,1.4258824,101,460.25604,0,1,0,0,1
15,522,1075,1075,92,172888,77956,295928,92795,1,0,0,1,0,0,0,0,1,1,1,3,1,0,0,0,0,51.797,144,6,0.31707317,41,338.35196,1,0,0,1,0,0,0,0,1,1,1,3,1,0,0,0,0,51.797,144,6,0.31707317,41,338.35196,1,0,0,1,0,0,0,0,1,1,1,3,1,0,0,0,0,51.797,144,6,0.31707317,41,338.35196,1,0,0,1,0,0,0,0,1,1,1,3,1,0,0,0,0,51.797,144,6,0.31707317,41,338.35196,0,1,0,0,1
